epicid,numax,numaxerr,dnu,dnuerr
200007765,62.88519,1.43641,5.56429,0.17444
200007766,62.59123,1.74219,5.71903,0.06925
200062586,7.29299,0.14925,1.31019,0.04631
200062590,11.71250,0.64569,1.87258,0.14649
200062591,19.84910,0.80192,2.45540,0.06599
200062592,46.95148,0.43368,5.96658,0.20496
200068392,33.30912,1.21748,3.62276,0.06880
200164170,10.13819,0.39047,1.56261,0.05254
200164173,11.37651,0.22821,1.69055,0.05710
200173844,54.46382,1.43783,5.13139,0.13344
200173852,34.95396,0.96397,4.15387,0.04478
200182926,53.32103,0.79194,5.43161,0.04455
200182927,61.64992,1.37606,6.42579,0.02581
200182929,11.51826,0.14632,1.52325,0.05130
200182930,71.61435,2.81290,7.20442,0.07786
200194911,34.89325,0.98295,3.57410,0.09570
200194913,54.25352,1.78889,5.19387,0.03445
200194916,53.22182,0.75488,4.91191,0.06078
200194918,45.02055,0.45981,4.46421,0.02759
200194920,96.83718,0.73790,9.27972,0.03169
200200359,22.91390,0.86408,2.65276,0.03029
200213054,40.01876,2.61622,3.76161,0.09150
200062589,46.28447,1.01750,4.82190,0.06173
200173858,9.38138,1.01247,1.48023,0.10252
200173862,21.43688,1.06621,2.40795,0.06514
200173876,18.77707,0.41086,2.03887,0.03883
200182925,17.00863,0.46040,1.96969,0.23106
200194917,44.17884,0.99561,3.55029,0.25678
200194921,41.04859,0.86153,4.10494,0.17300
200213056,36.98157,1.83006,4.37587,0.07622
200233190,22.92764,0.17473,3.00059,0.18006
